"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"----","G4 2","D4 2","G3 4","B3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","C5 2","E4 2",,"C3 2",,,,,,,,,
,,,,,,,,,,,,,
"19 ###","B4 4","D4 6","G3 4","D3 7",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 3",,"F#3 3",,,,,,,,,,
,,,,,,,,,,,,,
"----",,"C4 1",,,,,,,,,,,
,"G4 1","C4 1","G3 1","D3 1",,,,,,,,,
"20 ###","G4 4","B3 4","G3 4","G2 4","Bpm 100","release_time 1000","release_time 1000","release_time 1000","release_time 1000",,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"C4 8",,,,,,,,,,,,
,,,,,"Bpm 80",,,,,,,,
,,"E4 6",,,,,,,,,,,
,,,,,,,,,,,,,
,,,"G4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Bb4 2",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,"drum_level 10","drum_level 10","drum_level 10",,,,
,,,,,,,"sweet_fm","sweet_fm","bass_square",,,,
"####","F4 3","Bb3 1",,"Bb2 5","Time 3/4; resolution 8; bpm 110","Volume 75","Volume 50","Volume 25","Volume 50",,,,"kick"
,,"D3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"hat ",
,"G4 1","D3 1",,,,,,,,,,,
"----","F4 2","Bb4 1",,,,,,,,,,"hat ",
,,"D3 1",,,,,,,,,,,
"####","D4 6","Bb3 1",,"Bb2 5",,,,,,,,,"kick"
,,"D3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"hat ",
,,"D3 1",,,,,,,,,,,
"----",,"G3 1",,,,,,,,,,"hat ",
,,"F3 1",,,,,,,,,,,
"Bb","F4 3","Bb3 1",,"Bb2 5",,,,,,,,,"kick"
,,"D3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"hat ",
,"G4 1","D3 1",,,,,,,,,"hat",,
"----","F4 2","Bb4 1",,,,,,,,,,"hat ",
,,"D3 1",,,,,,,,,,,
"####","D4 6","Bb3 1",,"Bb2 5",,,,,,,,,"kick"
,,"F3 1",,,,,,,,,,,
"----",,"C3 1",,,,,,,,,,"hat ",
,,"F3 1",,,,,,,,,,,
"----",,"D3 1",,,,,,,,,"snare","hat ",
,,"F3 1",,,,,,,,,,,
"F","C5 4","C4 1",,"F3 10",,,,,,,"snare",,"kick"
,,"Bb3 1",,,,,"snare_roll 3",,,,,,
"----",,"A3 1",,,,,,,,,"snare","hat ",
,,"G3 1",,,,,"snare_roll 3",,,,,,
"----","C5 2","F3 1",,,,,,,,,"snare ","hat ",
,,"G3 1",,,,,,,,,,,
"####","A4 6","A3 1",,,,,,,,,"hat",,"kick"
,,"G3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,"snare","hat ",
,,"Eb3 1",,,,,,,,,"snare",,
"----",,"D3 1",,,,,,,,,,"hat; snare",
,,"C3 1",,,,,"snare_roll 3",,,,,,
"Bb","Bb4 4","Bb2 1",,"Bb2 5",,,,,,,"snare",,"kick"
,,"C3 1",,,,,,,,,,,
"----",,"D3 1",,,,,,,,,,"hat ",
,,"Eb3 1",,,,,,,,,,,
"----","Bb4 2","F3 1",,,,,,,,,,"hat ",
,,"G3 1",,,,,,,,,,,
"####","F4 6","Bb2 1",,,,,,,,,,,"kick"
,,"C3 1",,,,,,,,,,,
"----",,"D3 1",,"C3 2",,,,,,,"tom1","hat ",
,,"Eb3 1",,,,,,,,,"tom1",,
"----",,"F3 1",,"D3 2",,,,,,,"tom2","hat ",
,,"F#3 1",,,,,,,,,"tom3",,
"Eb","G4 4","G3 1",,"Eb3 10","Bpm 115",,,,,,,,"kick"
,,"D3 1",,,,,"snare_roll 3",,,,,,
"----",,"Bb2 1",,,,,,,,,"snare","hat ",
,,"D3 1",,,,,"snare_roll 3",,,,,,
"----","G4 2","G3 1",,,,,,,,,"snare ","hat ",
,,"D3 1",,,,,,,,,,,
"####","Bb4 3","G3 1",,,,,,,,,"snare",,"kick"
,,"D3 1",,,,,,,,,"snare",,
"----",,"Bb3 1",,,,,,,,,"snare","hat ",
,"A4 1","D3 1",,,,,,,,,,,
"----","G4 2","Eb3 1",,,,,,,,,"snare","hat ",
,,"D3 1",,,,,"snare_roll 2",,,,,,
